age,gender,study_hours_per_day,sleep_hours,social_media_hours,gaming_hours,exercise_minutes,assignments_completed,attendance_percentage,stress_level,productivity_score
29,Female,6.65,3.91,6.94,1.8,31,3,40.95,3,34.32
20,Male,8.3,8.98,7.75,5.76,107,11,97.11,3,82.84
24,Male,9.78,5.14,4.86,1.93,11,12,63.96,6,67.11
17,Male,2.89,7.81,5.84,3.23,107,19,89.94,8,52.22
25,Female,2.35,4.78,6.68,5.74,13,10,69.57,6,43.91
17,Male,3.74,9.77,1.53,2,48,3,60.1,2,53.48
24,Male,8.84,3.35,4.4,0.58,39,0,82.44,6,62.34
20,Other,0.63,6.59,7.51,4.78,78,2,65.51,6,24.88
25,Male,0.6,9.37,2.85,0.92,73,10,97.64,1,46.79
27,Other,2.56,6.29,7.92,4.18,108,5,43.52,8,27.72
21,Male,4.07,8.88,5.64,0.31,25,18,47.53,9,31.4
19,Male,3.37,9.65,5.38,1.28,64,7,54.65,8,45.54
25,Female,8.34,3.47,0.23,1.02,99,10,55.31,2,57.47
27,Male,7.05,6.42,0.08,2.43,51,3,88.11,6,68.11
25,Male,8.46,7.8,1.27,1.42,53,7,64.48,8,78.63
20,Male,4.15,8.83,7.46,5.89,83,5,90.61,6,60.18
27,Other,6.16,4.14,6.34,1.7,15,0,92.31,8,44.17
20,Male,5.4,6.97,4.13,1.88,118,3,94.2,6,66.25
28,Female,5.01,4.14,3.93,0.94,78,14,93.96,7,57.78
24,Female,3.24,8.29,1.02,4.98,1,4,76.15,8,27.05
18,Female,7.24,4.99,3.09,5.85,33,5,40.59,10,45.26
25,Female,5.48,4.88,1.2,2.53,1,14,81.55,1,50.37
29,Male,1.25,8.39,2.18,5.35,28,14,68.62,2,59.21
22,Male,0.5,8.89,0.05,5.22,102,1,78.39,2,37.23
25,Male,0.69,5.4,3.06,4.11,43,17,92.55,10,14.51
24,Male,1.22,6.51,5.36,4.84,51,7,48.95,4,25.04
23,Male,4.02,7.85,5.5,4.4,9,2,62.54,8,54.22
29,Male,3.4,8.22,3.33,4.07,30,18,65.62,5,45.57
17,Female,1.99,8.39,5.84,1.43,45,12,89.52,4,46.46
28,Female,5.4,5.73,3.39,3.39,13,4,56.07,7,47.14
19,Male,9.72,6.75,7.22,0.46,61,5,55.3,4,65.07
27,Male,2.03,3.77,2.53,3.64,106,13,43.92,8,23.81
18,Male,2.88,9.64,4.82,3.95,92,3,62.66,8,45.17
21,Male,4.89,7.91,0.82,4.81,68,0,58.93,3,57.27
21,Male,6.59,5.63,4,3.04,96,13,54.1,2,50.86
21,Female,6.2,5.73,3.03,0.97,76,13,49.25,1,47
20,Male,5.45,3.63,2.06,2.48,113,4,70.31,2,52.21
21,Male,7.5,6.2,2.54,5.77,71,13,92.51,5,70.08
19,Male,8.54,7.71,2.55,5.21,72,0,45.64,4,76.05
28,Other,9.99,9.67,3.87,5.92,92,9,47.68,7,70.21
17,Female,4.92,7.53,6.75,2.52,93,6,60.95,6,33.44
21,Female,9.95,7.55,3.9,4.82,76,8,45.04,5,84.26
29,Male,7.44,8.5,1.67,0.93,52,6,54.15,8,63.41
25,Male,6.74,6.57,0.55,5.98,68,17,84.87,10,59.21
29,Male,6.58,3.22,2.8,5.52,24,18,54.27,9,48.21
25,Male,9.15,9.23,1.26,5.66,108,1,69.29,5,68.15
20,Female,9.51,5.82,6.69,0.26,59,17,47.7,6,64.77
19,Male,2.2,9.89,7.96,2.52,98,0,79.2,8,45.94
17,Male,5.19,5.84,6.79,3.88,55,7,82.51,7,47.29
18,Female,9.44,7.68,3.08,5.45,56,16,68.29,10,56.69
24,Male,4.13,6.22,0.65,2.36,28,9,64.92,2,41.2
17,Female,2.71,4.63,5.68,4.24,54,13,41.22,1,34.06
24,Male,1.48,9.52,5.34,2.6,63,17,91.91,7,58.31
29,Male,6.17,7.39,0.54,4.92,55,1,89.87,10,66.42
23,Male,7.15,6.15,6.31,0.11,12,14,49.01,6,39.39
24,Female,2.36,4.01,6.6,2.58,58,19,73.38,10,38.46
28,Male,6.9,9.99,5.74,5.02,109,9,66.88,9,48.76
22,Male,9.05,9.27,5.82,2.59,41,9,90.16,4,83.34
28,Male,2.81,5.96,5.52,0.6,90,9,60.47,6,25.12
25,Female,1.66,4.2,3.49,3.34,42,17,48.75,3,26.2
19,Female,8.44,3.21,4.93,2.33,46,6,76.62,3,71.75
26,Male,9.21,4.06,4.93,1.86,85,15,41.76,4,62.32
20,Male,2.54,6.74,4.3,5.17,51,4,51.41,1,28.53
29,Female,7.35,8.71,4.83,2.65,83,14,52.85,10,61.64
22,Female,6.11,5.54,3.2,1.19,75,18,95.47,4,44.37
24,Female,2.77,6.04,5.43,0.62,65,16,64.3,2,48.5
21,Male,8.32,6.31,1.82,5.58,32,8,55.56,8,60.54
19,Male,4.97,3.12,6.83,4.25,77,15,43.43,9,25.22
22,Female,7.15,4.24,6.81,0.71,10,8,43.06,2,60.05
20,Female,3.36,6.51,3.98,0.43,27,3,67.3,2,49.65
25,Female,8.25,4.96,3.97,3.25,106,14,73.79,8,45.92
29,Male,3.01,6.66,3.19,2.09,76,17,52.81,10,38.78
19,Female,3.97,3.76,0.37,3.68,8,8,56.87,7,39.67
20,Female,4.22,8.62,1.15,3.83,106,0,95.91,2,57.42
23,Female,2.46,8.49,5.72,2.01,27,18,52.75,9,37.25
23,Male,8.81,7.69,1.14,2.78,57,4,70.63,1,66.85
28,Female,1.58,6.72,3.3,5.3,11,3,92.28,2,51.69
28,Female,5.85,5.73,2.83,4.78,60,3,76.13,6,58.24
20,Female,8.23,7.78,1.76,4.08,92,14,77.15,2,76.43
22,Female,6.02,8.47,4.23,5.15,77,6,72.07,10,45.35
28,Other,3.61,8.66,2.9,4.42,101,10,73.02,4,60.38
29,Other,7.92,5.43,6.08,4.3,22,17,79.1,2,56.66
19,Male,5.24,4.36,5.11,2.68,109,11,63.78,6,30.87
22,Female,2.05,5.39,3.84,2.43,98,2,74.19,9,28.87
28,Female,3.51,3.05,4.6,1.48,59,5,42.93,9,23.07
18,Male,6.12,5.96,3.45,5.56,84,8,86.8,5,42.81
24,Male,6.76,4.91,6.27,3.6,106,15,81.54,1,53.45
18,Male,5.71,8.53,7.68,4.34,92,4,84.94,9,47.87
27,Female,3.08,7.72,6.13,0.32,30,4,72.48,3,45.39
23,Male,6.14,3.18,6.89,5.17,37,8,71.7,5,46.58
25,Female,3.66,4.01,6.27,1.21,30,16,46.89,1,34.2
17,Female,2.64,6.8,3.26,4,73,7,62.19,5,30.13
24,Female,9.48,7.33,6.83,1.01,68,16,47.2,10,45.25
23,Male,3.49,8.38,0.3,0.52,45,13,66.29,2,46.3
22,Male,3.69,9.78,7.08,1.46,43,3,47.93,9,58.69
22,Male,9.02,7.91,3.76,2.11,18,5,74.88,2,87.19
22,Male,1.86,6.81,2.64,0.47,110,16,59.54,8,25.23
25,Female,6.05,5.9,4.2,1.66,103,0,50.04,5,55.3
18,Female,7.95,8.17,5.5,3.53,115,17,87.51,1,78.68
17,Male,3.1,9.54,4.92,2.84,109,18,93.68,1,47.9
29,Female,8.52,5.96,4.94,4.36,87,6,99.62,7,62.03
28,Male,7.81,7.09,0.8,3.54,106,9,98.13,4,74.11
22,Male,5.12,4.45,5.83,4.88,118,15,67.35,10,24.08
26,Female,1.63,9,5.69,3.84,47,18,46.12,7,38.75
27,Male,9.72,7.99,0.93,0.7,35,9,72.98,5,89.7
24,Female,6.43,5.48,0.35,4.22,60,2,97.96,3,75.08
19,Female,5.41,9.12,7.86,1.95,70,2,59.2,8,60.76
28,Female,8.91,9.8,5.97,0.15,34,11,47.83,1,82.4
26,Male,4.5,5.02,4.85,0.04,1,18,69.75,3,37.21
17,Male,5.85,4.31,2.53,1.34,103,18,48.54,10,33.81
25,Male,8.65,8.82,2.21,1.14,52,18,84.77,7,85.95
29,Other,4.23,7.08,1.08,2.36,93,10,80,1,49.29
29,Male,7.84,9.19,4.87,5.55,38,2,40.84,4,62.05
17,Male,2.93,5.43,4.61,3.45,43,15,45.68,2,41.35
19,Female,7.17,7.07,7.48,0.06,56,5,89.94,4,62.13
24,Female,5.35,7.04,5.02,5.27,48,0,54.42,10,49.05
19,Female,2.07,4.32,3.61,0.29,24,7,69.83,9,28.57
29,Other,1.79,9.94,7.18,5.72,40,13,49.37,3,57.61
20,Male,4.85,7.65,4.91,5.49,5,4,84.01,4,56.4
24,Male,7.25,7.65,5.71,2.64,29,12,85.08,3,54.79
17,Male,6.23,5.08,5.01,3.36,31,14,75.95,2,49.9
29,Male,8.62,7.55,1.36,2.38,101,13,59.95,6,73.86
29,Female,4.2,8.83,0.99,0.54,74,3,73.29,7,52.66
22,Male,8.51,8.69,5,0.09,40,5,48.75,3,58.78
17,Female,0.85,9.44,7.31,2.84,39,14,95.8,7,52.02
17,Male,3.98,4.04,7.71,5.56,28,13,90.3,10,29.57
24,Male,1.19,4.28,7.96,0.33,47,5,51.72,9,13.38
27,Female,9.23,7.97,6.75,4.39,32,16,78.26,10,65.56
20,Male,5.02,8.65,2.91,0.84,65,5,55.03,10,50.62
28,Female,3.5,7.72,4.91,4.38,12,16,49.74,2,47.89
17,Other,5.18,4,4.87,2.72,103,4,53.86,1,57.68
26,Female,5.56,7.16,4.3,2.65,69,12,72.69,7,47.96
23,Male,8.54,8.24,5.94,4.83,83,1,48.88,7,79.84
21,Female,5.65,3.96,1.36,1.06,98,19,53.37,7,42.57
21,Male,4.6,3.39,1.51,2.73,40,17,94.01,4,41.14
17,Female,9.63,4.78,7.56,0.47,10,0,64.98,2,56
26,Male,9.7,3.64,6.72,4.13,81,14,85.54,6,58.28
27,Male,0.86,4.04,6.55,1.22,11,6,44.28,2,21.96
22,Other,7.22,4.42,3.86,3.6,39,13,92.88,4,64.35
25,Male,4.03,6.71,4.54,2.58,9,17,76.77,10,55.06
25,Female,6.91,4.09,5,5.38,11,10,77.68,8,42.28
24,Male,6.55,7.23,2.35,3.06,13,4,53.94,5,40.36
21,Female,3.64,5.03,2.36,4.86,54,5,57.35,9,31.45
17,Other,9.87,5.17,1.44,5.43,60,11,69.24,5,69.2
25,Male,3.89,9.77,4.48,0.35,92,7,83.23,2,68.68
17,Female,6.5,8.64,1.31,1.45,8,3,56.23,1,58.83
24,Female,8.23,5.97,1.61,0.76,80,16,91.28,10,63.75
21,Female,1.88,6.13,7.22,0.72,116,8,98.98,2,31.97
19,Male,3.36,3.8,4.21,0.15,57,16,70.81,1,48.21
27,Female,2.39,8.91,4.95,3.34,2,15,78.73,8,45.22
23,Male,7.93,3.03,1.07,1.74,99,18,96.97,10,40.15
23,Male,8.11,4.01,1.65,2.52,62,18,78.71,6,44.48
25,Male,2.93,6.74,0.79,3.75,91,19,79.22,1,61.91
23,Female,0.54,4.32,2.17,3.42,109,2,43.06,4,25.05
29,Female,4.52,7.43,7.05,2.67,79,15,82.88,6,38.52
27,Male,7.03,3.03,7.11,3.55,50,16,69.33,8,39.38
19,Female,6.41,3.69,5.39,1,41,18,79.52,3,58
27,Female,4.73,8.35,7.01,3.04,43,4,86.99,1,43.54
29,Male,3.37,7.04,1.53,5.77,68,17,72.16,10,54.52
29,Female,5.01,3.14,1.18,5.67,6,6,54.83,10,38.39
17,Male,0.64,4.44,6.12,4.78,95,7,91.23,9,13.23
24,Male,1.2,4.67,7.92,3.67,20,19,89.14,8,32.39
28,Male,2.05,8.94,5.74,2.28,2,15,48.21,8,35.45
19,Female,6.44,7.08,0.3,0.81,47,13,61.69,1,62.55
28,Other,2.58,6.79,1.47,5.2,0,13,92.4,3,34.08
24,Male,4.52,3.61,1.98,4.82,86,1,87.53,8,39.94
24,Male,6.4,7.6,3.38,2.56,64,15,93.93,4,58.75
29,Female,8.39,4.09,1.77,3.51,51,10,51.28,4,46.74
21,Female,5.72,6.65,0.49,3.28,43,8,73.08,5,66.91
29,Female,2.18,7.15,2.07,0.65,45,15,68.52,6,34.46
28,Female,9.54,8.89,2.81,4.43,32,16,52.65,8,65.92
29,Female,1.36,8.65,2.27,2.03,76,12,70.11,4,48.87
17,Female,3.99,4.33,0.22,2.58,2,16,55.78,4,50.94
29,Female,9.25,9.41,7.42,3.44,114,1,87.46,9,60.85
26,Male,6.22,3.02,4.33,5.82,118,4,97.76,2,45.38
23,Female,6.8,5.31,6.79,3.67,98,15,89.08,3,47.53
28,Male,3.37,3.46,0.12,1.76,7,7,82.62,7,15.82
26,Male,1.25,8.05,6.38,0.14,30,18,74.22,4,35.14
21,Male,3.97,6.5,5.64,1.85,43,18,49.19,8,27.76
24,Female,4.32,4.22,7.82,3.44,33,0,99.12,7,45.17
25,Female,3.07,3.6,0.92,3.17,118,12,67.18,3,41.42
27,Female,2.55,4.58,5.14,4.8,21,3,46.07,1,32.47
23,Male,3.88,9.45,0.17,0.04,1,4,58.61,3,38.27
29,Female,6.57,7.74,2.86,5.57,14,19,98.64,9,58.74
23,Male,9.52,4.7,5.09,4.97,35,9,41.71,5,50.17
17,Female,7.19,9.26,7.46,1.35,24,13,52.5,10,60.98
20,Male,7.91,3.96,0.66,0.62,26,2,82.16,6,59.48
18,Female,3.41,7.82,3.91,4.34,87,2,83.74,5,45.73
18,Female,1.49,5.97,1.91,3.27,1,15,80.88,4,42.93
18,Female,3.27,4.88,1.73,4.63,55,12,70.17,6,52.76
20,Female,4.33,4.84,5.51,1.16,58,13,52.97,6,29.63
17,Female,7.05,6.51,0.22,3.55,98,1,55.09,3,64.56
20,Male,9.42,9.52,5.05,5.45,18,7,53.32,7,76.72
18,Female,8.19,8.2,1.3,5.88,11,16,99.67,10,77.1
21,Male,3.03,7.63,0.12,4.5,60,14,45.28,10,36.81
19,Male,8.29,9.13,4.35,5.95,107,16,85.55,5,90.68
28,Male,4.41,6.99,0.9,5.76,98,10,88.83,2,58.75
24,Female,2.17,4.34,4.49,5.79,77,14,41.26,4,31.49
20,Male,4.88,9.84,2.24,2.48,36,5,40.1,4,56.28
17,Male,5.85,6.74,2.23,0.75,62,14,82.92,3,45
17,Other,7.75,5.21,6.44,0.81,118,3,98.32,4,70.98
28,Female,3.82,8.45,5.69,0.52,14,8,65.79,3,51.66
26,Male,1.89,6.25,6.62,0,42,19,88.58,7,48.01
19,Female,1.4,3.09,3.4,2.37,99,12,81.5,7,24.23
25,Male,1.57,5.24,0.9,5.83,112,4,48.36,1,43.81
23,Female,9.53,6.2,6.11,0.47,118,12,58.8,5,74.94
18,Female,9.54,5.61,6.94,3.2,84,12,93.51,4,73.37
29,Female,9.7,6.86,4.7,4.95,119,3,86.05,3,73.8
25,Female,3.37,4.28,1.76,5.75,20,11,40.91,2,35.36
26,Male,2.32,7.01,6.13,3.93,18,17,65.36,9,43.27
18,Male,9.82,9.91,0.35,5.4,91,9,44.51,10,76.05
19,Female,9.89,8.28,2.75,2.81,82,7,47.88,3,84.36
27,Male,1.24,7.79,3.13,1.51,39,17,81,10,25.09
29,Other,7.65,4.4,2.65,0.47,110,9,78.38,9,56.24
26,Male,3.24,7.07,7.56,2.08,40,10,42.08,8,26.62
18,Male,9.14,8.74,6.66,3.52,48,5,62.9,8,54.76
19,Female,1.35,4.68,4.24,5.89,29,14,54.19,1,15
22,Male,8.94,3.61,7.48,1.25,119,6,88.21,8,61.75
25,Male,0.52,7.63,1.25,3.3,83,3,66.59,10,28.07
25,Male,5.46,7.72,0.77,3.25,24,0,62.47,10,52.64
23,Other,3.69,8.63,3.08,0.85,1,13,68.3,1,56.12
28,Male,4.56,7.41,7.93,0.16,37,9,88.68,2,66.19
19,Male,4.62,8.94,7.23,5.77,15,12,60.89,10,46.53
20,Male,6.71,4.86,1.78,5.77,39,14,76.91,5,49.65
22,Male,0.72,3.25,7.44,2.23,15,17,47.42,10,11.31
27,Male,7.07,8.13,5.05,1.22,94,3,73.51,6,62.77
21,Female,0.71,5.7,2.47,4.83,7,17,78.3,2,39.05
18,Other,2.26,4.47,6.54,0.92,3,10,53.97,1,34.43
29,Male,6.26,3.36,6.85,5.11,69,9,64.96,6,36.48
22,Female,1.32,8.29,0,2.63,54,12,75.57,8,20.31
19,Other,9.91,8.78,1.08,0.63,91,13,60.5,2,70.01
24,Male,7.95,5.72,6,5.84,18,7,48.89,2,64.19
18,Male,7.2,9.2,4.9,0.29,108,5,42.07,8,62.5
17,Female,3.04,5.91,2.09,2.27,107,2,62.31,8,51.07
25,Female,0.96,9.66,2.2,3.67,71,11,42.14,2,50.14
28,Male,9.8,9.88,0.89,1.19,47,6,55.91,8,78.7
19,Male,1.9,8.72,3.42,3.78,79,19,69.48,4,46.19
27,Male,8.39,4.79,0.49,3.08,98,19,67.37,3,51.52
17,Male,2.38,5.56,5.47,3.33,33,8,73.03,9,30.76
23,Female,4.05,6.73,1.96,2.1,14,7,70.23,9,32.45
29,Female,7.09,5.3,7.05,5.47,54,17,68.51,8,43.26
26,Female,9.48,8.73,0.76,4.78,17,0,54.47,8,70.67
21,Male,0.69,9.49,5.54,2.46,13,8,44.22,4,42.05
21,Male,2.98,9.9,6.96,4.12,107,13,45.6,10,50.04
17,Male,7.77,5.35,5.63,1.74,4,18,75.25,3,56.76
25,Female,2.15,4.89,7.41,5.4,47,15,84.52,4,45.31
23,Female,1.56,4.13,2.63,3.23,75,8,43.96,10,22.32
24,Male,0.94,3.33,1.08,3.31,71,16,92.96,9,17.19
25,Male,5.27,4.24,2.8,0.07,75,15,92.75,9,32.21
22,Female,7.79,4.99,4.77,3.84,61,5,81.65,9,57.35
28,Female,9.64,5.74,7.57,0.17,99,6,70.64,9,69.33
21,Male,3.04,3.77,2.36,4.12,27,14,42.39,8,17.1
22,Male,1.65,8.74,5.48,2.74,29,14,69.7,9,32.6
27,Male,4.32,7.33,0.8,3.1,60,4,79.63,1,49.51
18,Female,1.03,6.94,2.15,5.64,103,6,96.32,2,47.68
20,Female,3.65,6.82,1.28,5.52,19,10,43.51,1,46.07
19,Female,6.61,5.03,3.83,0.33,91,13,85.04,3,55.92
29,Female,2.1,9.56,7.49,5.7,93,18,77.97,9,52.03
23,Other,6.5,4.62,7.32,0.54,27,7,75.32,8,45.97
25,Male,9.73,7.68,3.42,1.82,80,13,41.96,3,60.1
21,Male,8.71,4.77,6.86,3.42,65,14,42.25,4,58.39
22,Male,3.89,9.93,3.45,4.21,48,17,80.66,4,41.9
26,Male,4.5,9.38,3.27,4.93,58,4,50.78,3,61.92
28,Female,4.48,4.85,7.08,3.11,79,3,89.98,3,59.38
28,Female,8.67,9.91,0.24,1.92,71,15,66.39,5,69.78
18,Female,9.94,7.38,7.05,3.24,83,14,52.46,6,67.3
19,Male,8.35,8.1,6.68,0.53,90,16,91.38,6,66.15
19,Male,5.8,4.98,1.61,0.69,8,17,52.93,5,57.03
28,Male,1.42,4.51,3.25,3.85,85,4,75.55,4,17.51
28,Female,9.57,9.01,6.81,2.17,86,3,67.61,8,72.47
25,Male,8.67,4.93,4.46,0.28,108,6,79.93,7,57.15
23,Male,8.49,9.42,5.83,3.52,1,11,60.18,2,80.61
24,Male,4.22,5.57,1.25,5.7,98,17,59.26,1,38.02
27,Other,4.75,3.06,3.79,2.16,85,17,77.25,7,28.25
26,Female,1.64,7.15,4.09,3.25,30,12,98.55,7,43.65
27,Female,9.41,5.48,0.76,5.77,85,18,97.48,4,66.47
25,Female,9.46,9.83,2.6,1.49,97,18,43.65,10,55.56
22,Female,2.92,5.71,5.87,4.87,79,14,74.76,5,44.97
20,Male,7.11,5.2,1.36,1.62,75,7,41.18,4,58.42
28,Male,2.43,6.96,4.97,5.15,102,17,81.71,7,28.8
17,Female,4.23,8.11,0.6,1.14,35,6,83.19,8,64.79
24,Female,3.37,9.77,0.62,1.2,69,12,52.58,9,51.9
23,Male,4.2,3.49,5.56,0.16,91,9,81.47,10,25.38
18,Male,3.44,5.94,7.94,1,1,2,45.03,3,32.08
24,Female,3.78,7.65,2.91,2.17,39,11,48.22,5,52.24
28,Male,8.02,3.03,4.93,3.14,7,5,70.92,10,51.19
21,Female,3.35,6.42,4.95,5.34,117,18,61.98,7,23.13
23,Male,8.24,8.65,1.41,3.78,34,1,96.09,5,77.1
20,Male,5.9,3.36,7.52,2.72,85,18,76.95,3,56.71
21,Male,7.91,5.38,4.22,5.6,84,19,81.24,2,69.47
24,Female,9.23,5.81,3.13,2.23,97,17,89.69,1,71.21
17,Female,1.82,8.01,1.08,0.64,52,6,89.36,7,52.15
17,Male,3.77,5.07,4.5,5.68,33,19,86.15,2,37.34
20,Female,1.03,4.72,7.22,3.68,28,18,83.35,9,27.18
19,Male,4.37,3.81,4.08,5.04,52,8,87.49,9,29.57
29,Male,2.76,9.97,0.99,0.39,96,17,43.53,9,27.61
26,Female,5.93,6.3,2.22,5.69,96,18,75.83,4,54.52
28,Male,7.94,3.34,7.9,5.88,63,18,81.39,9,50.56
18,Female,5.12,3.54,3.21,0.07,13,13,66.37,10,30.54
28,Female,3.67,3.9,7.88,3.49,16,11,88.8,5,45.29
19,Female,1.95,4.48,4.37,2.48,75,5,82.33,9,37.11
27,Female,0.75,8.18,5.68,3.06,54,7,44.84,4,43.31
27,Female,6.94,6.91,1.76,1.07,89,4,89.45,8,60.25
27,Male,0.79,8.44,7.9,4.6,105,16,61.08,2,41.75
17,Male,9.25,3.14,0.07,1.58,30,9,68.18,8,71.54
17,Male,6.15,4.86,6.85,3.76,68,16,59.19,7,42.86
22,Female,3.86,5.84,5.51,0.69,7,12,92.41,1,44.04
21,Male,0.9,6,5.27,3.3,89,19,63.36,6,20.04
24,Male,4.43,3.37,2.52,2.58,50,2,95.66,3,42.27
18,Female,8.74,6.58,1.49,0.66,2,0,93.44,3,70.37
20,Female,9.71,5.01,4.99,0.27,15,18,72.89,7,79.41
24,Other,1.31,4.34,7.32,5.12,62,0,59.86,7,36.11
28,Female,7.88,7.7,2,3.24,54,17,43.27,2,51.47
22,Male,2.95,3.59,6.45,4.05,24,7,41.71,8,25.9
17,Female,4.1,9.07,0.71,4.1,88,0,90.84,10,48.11
20,Male,5.7,9.3,1.94,1.7,55,2,77.46,6,56.48
17,Male,9.95,5.28,0.44,4.37,30,19,57.21,3,71.32
29,Female,2.48,9.91,3.06,0.23,117,7,51.35,5,48.39
18,Female,1.74,5.81,5.57,0.45,74,4,43.96,9,14.79
21,Female,6.15,9.74,3.97,0.93,64,11,65.48,8,55.88
24,Other,8.6,9.91,4.3,3.24,44,9,60.98,3,75.47
24,Female,6.66,8.79,4.6,5.15,79,16,66.46,2,55.29
27,Male,3.8,3.87,1.79,2.77,61,5,69.56,6,17.83
19,Female,9.78,7.09,2.67,4.27,2,2,78.56,10,67.18
27,Female,9.95,8.12,3.64,1.94,17,15,60.26,1,86.73
29,Other,7.82,3.54,4.59,1.5,87,11,42.21,7,45.81
20,Male,8.12,9.26,6.78,4.89,87,3,68.47,4,74.45
26,Male,7.73,8.96,3.69,1.65,30,14,73.46,8,66.66
27,Female,2.95,9.54,6.15,2.52,52,2,54.11,8,40.09
22,Male,1.93,6.6,0.94,5.05,6,16,59.22,10,23.34
27,Female,5.77,5.27,1.04,3.6,37,5,82.79,7,46.45
27,Male,9.56,6.54,2.31,3.6,88,14,64.83,7,69.27
26,Male,8.84,8.11,2.55,0.57,3,18,66.86,8,61.86
19,Female,1.52,5.91,5.01,1.56,79,15,78.64,4,50.06
18,Male,1.04,5.46,1.75,2.19,75,17,84.55,8,28.25
22,Female,8.8,3.54,1.13,2.92,74,13,72.08,8,59.09
27,Male,6.32,6.13,5.17,3.6,25,3,79.07,10,47.7
29,Male,3.39,5.75,7.98,0.27,47,17,88.91,4,64.78
21,Male,5.84,7.64,7.94,5.65,48,16,47.99,1,58.47
26,Female,2.61,6.07,7.38,5.45,115,5,49.96,1,39.58
21,Male,9.5,3.03,0.5,5.1,84,12,77.89,5,62.89
26,Female,8.36,6.39,6.11,3.39,63,11,97.6,9,60.97
29,Female,9.64,8.42,3.07,3.85,82,14,40.51,8,55.72
21,Female,2.28,9.62,6.58,4.51,115,5,57.61,3,49.37
26,Female,8.51,4.35,0.39,1.07,38,14,56.97,9,38.6
28,Male,5.82,5.96,6.7,5.75,110,15,49.26,5,51.25
21,Male,3.59,8.93,4.96,4.21,96,16,70.15,2,42.43
19,Female,5.06,3.3,0.64,0.63,80,18,77.91,10,49.89
23,Male,9.47,5.45,7.67,3.3,50,7,77.06,8,72.94
22,Female,7.07,7.14,6.98,1.37,41,4,97.87,4,68.47
20,Female,3.92,5.4,5.51,1.45,14,9,57.07,6,37.17
18,Male,10,6.43,2.95,4.3,116,13,72.74,4,71.04
28,Female,3.78,9.57,4.08,2.55,54,1,44.42,8,65.03
25,Female,8.23,3.17,0.22,0.67,100,14,79.44,3,45.45
17,Male,7.95,3.55,5.37,0.91,0,6,90.6,7,55.54
29,Female,7.37,4.38,7.64,0.53,18,14,96.59,4,41.1
29,Male,6.86,5.69,1.75,0.18,85,17,73.62,10,59.11
27,Female,1.53,6.3,3.26,5.05,32,1,81.84,4,43.63
20,Female,9.95,3.26,6.89,0.34,109,15,90.18,1,52.98
17,Female,2.03,9.18,0.53,2.97,117,2,90.78,1,55.97
29,Female,6.16,8.31,2.56,0.2,19,17,57.02,6,63.51
22,Female,2.87,4.88,7.53,4.45,91,2,79.15,7,21.58
20,Female,2.1,4.8,6.15,0.33,30,9,96.42,1,40.58
21,Female,5.81,3.18,0.65,0.35,15,9,96.17,5,58.53
21,Female,8.45,5.79,3.72,2.18,27,14,51.18,7,48.01
25,Female,4.08,4.78,4.1,2.17,22,2,95.35,4,57.79
17,Female,1.23,7.33,5.92,1.6,61,15,96.05,1,35.76
29,Other,6.43,6.84,1.72,5.67,45,2,73.33,2,66.58
18,Female,7.78,9.7,1.88,1.96,109,2,52.75,8,64.8
29,Female,3.31,8.57,6.82,0.73,10,18,43.15,8,51.16
22,Male,7.06,3.57,1.8,5.76,102,13,51.55,1,41.67
21,Female,1.22,7.93,3.58,3.74,59,1,48.09,7,29.18
27,Female,3.93,3.75,5.56,0,2,4,51.56,8,30.02
23,Female,5,5.26,4.2,2.02,3,0,98.32,3,71.98
19,Male,7.93,6.89,7.32,5.4,107,2,49.82,7,54.39
19,Female,3.71,6.47,4.09,3.4,2,8,71.61,10,23.63
26,Male,4.81,7.85,1.66,1.91,90,15,54.08,6,33.5
18,Male,6.47,8.67,6.65,0.99,90,17,44.43,7,66.07
29,Female,6.43,8.81,6.23,4.27,95,5,54.61,2,49.36
19,Female,5.42,3.41,1.62,3.33,98,1,81.26,7,30.4
26,Male,3.62,7.49,6.17,4.72,92,18,51.92,7,27.58
17,Female,6.86,9.73,2.58,3.58,39,0,48.72,2,61.89
21,Male,8.45,8.29,4.52,4.82,77,7,46.1,7,69.03
28,Male,1.96,6.64,7.77,1.57,62,7,48.81,8,35.36
21,Male,3.73,9.99,0.35,1.11,41,19,41.93,7,35.74
28,Female,6.85,3.31,1.37,3.66,19,19,51.11,10,52.63
27,Male,7.68,3.62,4.85,4.37,64,11,95.08,8,44.47
23,Male,7.92,8.38,0.4,5.83,106,14,99.81,3,80.6
20,Female,6.71,6.85,0.88,3.72,1,11,84.38,2,49.53
19,Male,5.04,3.87,4.9,4.39,90,3,72.62,3,39.7
17,Female,6.64,5.63,6.73,2.23,5,18,43.89,10,51.13
28,Female,1.78,3.45,4.37,4.2,40,1,88.98,7,36.59
24,Female,2.47,6.68,1.49,4.64,75,15,50.95,5,17.12
29,Male,9.31,3.73,1.05,2.28,32,0,84.1,5,74.63
19,Female,9.26,3.05,6.57,5.23,21,5,98.82,4,62.65
29,Female,7.38,5.26,7.22,3.69,43,6,89.24,8,53.03
18,Male,3.61,4.64,6.04,0.19,32,1,76.72,1,49.35
27,Male,6.66,5.53,1.76,1.49,4,18,51.22,6,49.91
20,Female,7.03,5.45,2.82,4.33,12,3,99.75,1,73.9
